finding	platform	record_id	path	detail
unregistered-document	common	async_handler_registry_removed_apis_2026-09-16	doc/08_tracking/bug/async_handler_registry_removed_apis_2026-09-16.md	Status: OPEN; severity/priority: not explicit; matches:
unregistered-document	common	async_host_missing_async_core_module_breaks_task_handle_cancel_2026-07-29	doc/08_tracking/bug/async_host_missing_async_core_module_breaks_task_handle_cancel_2026-07-29.md	Status: open (one contributing bug fixed this session; the module gap itself is; severity/priority: CRITICAL — an entire documented API surface (task handles with; matches:
exact-status-conflict	common	async_mutex_blocks_carrier_thread_no_suspend_2026-07-28	doc/08_tracking/bug/async_mutex_blocks_carrier_thread_no_suspend_2026-07-28.md	document=open (follow-up; deliberate interim state); DB=closed; no status change authorized by this audit
exact-status-conflict	common	async_runtime_detached_completed_results_unbounded_2026-08-13	doc/08_tracking/bug/async_runtime_detached_completed_results_unbounded_2026-08-13.md	document=OPEN (P2); DB=fixed; no status change authorized by this audit
unregistered-document	common	async_spec_taskstate_enum_fix_hangs_2026-09-01	doc/08_tracking/bug/async_spec_taskstate_enum_fix_hangs_2026-09-01.md	Status: OPEN; severity/priority: not explicit; matches:
unregistered-document	common	auto_vectorize_pass_is_analysis_only_2026-09-13	doc/08_tracking/bug/auto_vectorize_pass_is_analysis_only_2026-09-13.md	Status: open — blocks every downstream SIMD-automation claim; severity/priority: not explicit; matches:
exact-status-conflict	common	backend_linker_check_arm_body_const_assign_2026-07-02	doc/08_tracking/bug/backend_linker_check_arm_body_const_assign_2026-07-02.md	document=OPEN; DB=fixed; no status change authorized by this audit
exact-status-conflict	common	bare_hardware_namespace_import_unresolved_2026-07-20	doc/08_tracking/bug/bare_hardware_namespace_import_unresolved_2026-07-20.md	document=open; DB=closed; no status change authorized by this audit
unregistered-document	common	baremetal_bool_macros_disagree_with_codegen_tags_2026-09-01	doc/08_tracking/bug/baremetal_bool_macros_disagree_with_codegen_tags_2026-09-01.md	Status: OPEN; severity/priority: not explicit; matches:
unregistered-document	common	baremetal_image_perf_probe_no_verdict_2026-08-12	doc/08_tracking/bug/baremetal_image_perf_probe_no_verdict_2026-08-12.md	Status: OPEN (2026-08-12); severity/priority: not explicit; matches:
unregistered-document	common	base64url_decode_accepts_invalid_alphabet_2026-08-18	doc/08_tracking/bug/base64url_decode_accepts_invalid_alphabet_2026-08-18.md	Status: OPEN; severity/priority: Medium-High — base64urldecode is on the JWT path, where the; matches:
unregistered-document	common	be_dom_event_path_family_arity_and_style_serialize_2026-08-19	doc/08_tracking/bug/be_dom_event_path_family_arity_and_style_serialize_2026-08-19.md	Status: OPEN P2. Filed 2026-08-19 (found by the chrome counter component harness,; severity/priority: not explicit; matches:
unregistered-document	linux	bin_simple_is_seed_aarch64_stage3_blocked_2026-09-04	doc/08_tracking/bug/bin_simple_is_seed_aarch64_stage3_blocked_2026-09-04.md	Status: OPEN — stopgap in place, removal blocked on Stage 3; severity/priority: not explicit; matches:
unregistered-document	common	binding_module_shadow_census_2026-08-18	doc/08_tracking/bug/binding_module_shadow_census_2026-08-18.md	Status: OPEN (compiler defect, seed-side). This document is the census for; severity/priority: not explicit; matches:
unregistered-document	common	bitfield_specs_vacuous_and_custom_primitive_bitfield_dead_2026-08-18	doc/08_tracking/bug/bitfield_specs_vacuous_and_custom_primitive_bitfield_dead_2026-08-18.md	Status: OPEN; severity/priority: Medium (reported coverage does not exist; 285 lines of dead source); matches:
unregistered-document	common	blake2s_std_crypto_module_missing_2026-07-20	doc/08_tracking/bug/blake2s_std_crypto_module_missing_2026-07-20.md	Status: OPEN.; severity/priority: medium (whole spec file cannot load; 0 examples run).; matches:
exact-status-conflict	common	blink_parse_declarations_cross_module_collision_2026-08-11	doc/08_tracking/bug/blink_parse_declarations_cross_module_collision_2026-08-11.md	document=OPEN (P2); DB=fixed; no status change authorized by this audit
exact-status-conflict	common	blink_specs_import_unimplemented_modules_2026-08-10	doc/08_tracking/bug/blink_specs_import_unimplemented_modules_2026-08-10.md	document=OPEN (P2); DB=fixed; no status change authorized by this audit
unregistered-document	common	block_scoped_use_no_op_symbol_resolution_2026-08-18	doc/08_tracking/bug/block_scoped_use_no_op_symbol_resolution_2026-08-18.md	Status: OPEN (compiler defect). Two call sites worked around by hoisting.; severity/priority: HIGH — fails at call time with a "function not found" error that; matches:
unregistered-document	common	bm25_checked_rejects_valid_multiterm_and_shingle_aliasing_2026-08-31	doc/08_tracking/bug/bm25_checked_rejects_valid_multiterm_and_shingle_aliasing_2026-08-31.md	Status: OPEN — both found during integration wiring, both worked around locally; severity/priority: medium — NOT a blanket multi-term failure. Scope corrected below.; matches:
unregistered-document	common	board_vulkan_spec_manual_honesty_and_docgen_stub_2026-08-11	doc/08_tracking/bug/board_vulkan_spec_manual_honesty_and_docgen_stub_2026-08-11.md	Status: Open — informational/documentation-quality, not a product defect; severity/priority: not explicit; matches:
unregistered-document	common	boot_layout_a9_board_blocked_2026-09-19	doc/08_tracking/bug/boot_layout_a9_board_blocked_2026-09-19.md	Status: OPEN (P2); severity/priority: not explicit; matches:
unregistered-document	common	bootstrap_admission_producer_selftest_greps_wrong_file_2026-09-05	doc/08_tracking/bug/bootstrap_admission_producer_selftest_greps_wrong_file_2026-09-05.md	Status: open; severity/priority: not explicit; matches:
unregistered-document	common	bootstrap_admission_v2_circular_and_cannot_express_imported_parent_2026-08-18	doc/08_tracking/bug/bootstrap_admission_v2_circular_and_cannot_express_imported_parent_2026-08-18.md	Status: OPEN; severity/priority: not explicit; matches:
unregistered-document	common	bootstrap_blocked_unknown_extern_rt_transient_array_scope_begin_2026-07-27	doc/08_tracking/bug/bootstrap_blocked_unknown_extern_rt_transient_array_scope_begin_2026-07-27.md	Status: open, blocks every session; severity/priority: blocks ALL compiler-side work — no fix to src/compiler/ can be; matches:
unregistered-document	common	bootstrap_determinism_check_races_live_working_tree_2026-08-21	doc/08_tracking/bug/bootstrap_determinism_check_races_live_working_tree_2026-08-21.md	Status: OPEN; severity/priority: high — the gate's central claim ("deterministic output") is unfalsifiable as written, and its; matches:
unregistered-document	common	bootstrap_diagnostic_multifile_check_startup_blocker_2026-08-02	doc/08_tracking/bug/bootstrap_diagnostic_multifile_check_startup_blocker_2026-08-02.md	Status: BLOCKED — unsafe to enable chunking without per-file terminal records; severity/priority: not explicit; matches:
unregistered-document	common	bootstrap_facade_check_silent_exit_on_symlinked_pwd_2026-08-31	doc/08_tracking/bug/bootstrap_facade_check_silent_exit_on_symlinked_pwd_2026-08-31.md	Status: OPEN (workaround documented; script not changed); severity/priority: medium (blocks bootstrap with zero diagnostic output); matches:
unregistered-document	common	bootstrap_failure_leaves_orphan_workers_holding_output_lock_2026-09-06	doc/08_tracking/bug/bootstrap_failure_leaves_orphan_workers_holding_output_lock_2026-09-06.md	Status: OPEN; severity/priority: P1 — one failed bootstrap blocks every later bootstrap on the; matches:
unregistered-document	common	bootstrap_flat_function_tail_local_payload_loss_2026-08-16	doc/08_tracking/bug/bootstrap_flat_function_tail_local_payload_loss_2026-08-16.md	Status: OPEN / TODO (currently unused method); severity/priority: high if the dormant path is reactivated; matches:
exact-status-conflict	common	bootstrap_low_memory_positional_bridge_circularity_2026-07-26	doc/08_tracking/bug/bootstrap_low_memory_positional_bridge_circularity_2026-07-26.md	document=BLOCKED — final preflight found no admissible distinct route; one cycle remains unspent; DB=closed; no status change authorized by this audit
unregistered-document	cross-platform	bootstrap_macos_blocked_seed_compile_and_linux_only_stage3_authority_2026-09-06	doc/08_tracking/bug/bootstrap_macos_blocked_seed_compile_and_linux_only_stage3_authority_2026-09-06.md	Status: partially FIXED (3 fixes in this change); the remaining /proc coupling is documented below.; severity/priority: not explicit; matches:
unregistered-document	common	bootstrap_match_keyword_index_ambiguity_2026-07-27	doc/08_tracking/bug/bootstrap_match_keyword_index_ambiguity_2026-07-27.md	Status: OPEN.; severity/priority: high — blocks the strict Stage 4 full-CLI bootstrap.; matches:
unregistered-document	common	bootstrap_parent_multiline_or_pattern_2026-08-22	doc/08_tracking/bug/bootstrap_parent_multiline_or_pattern_2026-08-22.md	Status: partial — source grammar and jj capsule provenance fixed; current; severity/priority: not explicit; matches:
exact-status-conflict	common	bootstrap_planner_v1_unbound_authorization_2026-08-14	doc/08_tracking/bug/bootstrap_planner_v1_unbound_authorization_2026-08-14.md	document=OPEN (P1); DB=closed; no status change authorized by this audit
exact-status-conflict	common	bootstrap_prefix_address_of_parser_gap_2026-07-27	doc/08_tracking/bug/bootstrap_prefix_address_of_parser_gap_2026-07-27.md	document=OPEN.; DB=closed; no status change authorized by this audit
unregistered-document	windows	bootstrap_publish_blocked_windows_native_symlink_privilege_2026-09-07	doc/08_tracking/bug/bootstrap_publish_blocked_windows_native_symlink_privilege_2026-09-07.md	Status: OPEN — environmental, not a code defect. Needs a decision from the; severity/priority: Blocking — phase-1 publish cannot complete on this Windows host; matches:
exact-status-conflict	common	bootstrap_pure_simple_stage2_stall_yoon_note_2026-07-02	doc/08_tracking/bug/bootstrap_pure_simple_stage2_stall_yoon_note_2026-07-02.md	document=open (blocks redeploying bin/simple on this host); DB=closed; no status change authorized by this audit
unregistered-document	linux	bootstrap_reads_transiently_broken_shared_working_copy_2026-09-05	doc/08_tracking/bug/bootstrap_reads_transiently_broken_shared_working_copy_2026-09-05.md	Status: OPEN; severity/priority: medium-high — costs a full bootstrap lane, and the failure it; matches:
unregistered-document	common	bootstrap_receipt_planner_conflated_error_and_no_admittable_receipt_2026-08-18	doc/08_tracking/bug/bootstrap_receipt_planner_conflated_error_and_no_admittable_receipt_2026-08-18.md	Status: PARTIALLY FIXED (message defect fixed) / OPEN (P1 — admission still unsatisfiable here); severity/priority: not explicit; matches:
exact-status-conflict	common	bootstrap_seed_jit_host_evidence_chain_false_negative_2026-07-27	doc/08_tracking/bug/bootstrap_seed_jit_host_evidence_chain_false_negative_2026-07-27.md	document=open, diagnostic runner only; DB=closed; no status change authorized by this audit
unregistered-document	common	bootstrap_seed_path_escapes_output_dir_lock_2026-07-31	doc/08_tracking/bug/bootstrap_seed_path_escapes_output_dir_lock_2026-07-31.md	Status: open. Not worked around — see "Why nothing was forced".; severity/priority: blocks any bootstrap while another session is executing the seed;; matches:
exact-status-conflict	common	bootstrap_stage1_native_build_llvm_icmp_segfault_2026-07-09	doc/08_tracking/bug/bootstrap_stage1_native_build_llvm_icmp_segfault_2026-07-09.md	document=OPEN — root-caused via crash report ~/Library/Logs/DiagnosticReports/simple-2026-07-09-084618.ips.; DB=closed; no status change authorized by this audit
unregistered-document	common	bootstrap_stage2_admission_refused_by_concurrent_source_edits_2026-09-05	doc/08_tracking/bug/bootstrap_stage2_admission_refused_by_concurrent_source_edits_2026-09-05.md	Status: OPEN — not a compiler defect; the gate is behaving correctly; severity/priority: not explicit; matches:
unregistered-document	common	bootstrap_stage2_cranelift_aot_extern_missing_2026-07-01	doc/08_tracking/bug/bootstrap_stage2_cranelift_aot_extern_missing_2026-07-01.md	Status: partially fixed; severity/priority: not explicit; matches:
exact-status-conflict	common	bootstrap_stage3_selfhost_seed_wrapper_fallback_2026-06-17	doc/08_tracking/bug/bootstrap_stage3_selfhost_seed_wrapper_fallback_2026-06-17.md	document=Open; DB=closed; no status change authorized by this audit
unregistered-document	common	bootstrap_stage3_surface_driver_segfault_2026-08-12	doc/08_tracking/bug/bootstrap_stage3_surface_driver_segfault_2026-08-12.md	Status: open, reproduced once; severity/priority: release blocker; matches:
exact-status-conflict	common	bootstrap_stage4_get_args_infinite_recursion_coredump_2026-06-21	doc/08_tracking/bug/bootstrap_stage4_get_args_infinite_recursion_coredump_2026-06-21.md	document=Open root cause; guarded 2026-06-22; DB=fixed; no status change authorized by this audit
exact-status-conflict	other-platform	bootstrap_stage4_graph_load_timeout_2026-07-05	doc/08_tracking/bug/bootstrap_stage4_graph_load_timeout_2026-07-05.md	document=OPEN; DB=closed; no status change authorized by this audit
unregistered-document	common	bootstrap_stage4_import_mangling_runtime_gap_2026-07-12	doc/08_tracking/bug/bootstrap_stage4_import_mangling_runtime_gap_2026-07-12.md	Status: PARTIALLY-FIXED. Sub-issue (a) resolved; sub-issue (b) remains; severity/priority: not explicit; matches:
exact-status-conflict	common	bootstrap_stage4_optional_arg_and_mixed_tail_miscompile_2026-07-23	doc/08_tracking/bug/bootstrap_stage4_optional_arg_and_mixed_tail_miscompile_2026-07-23.md	document=open (seed defect; .spl call sites worked around, fix pinned by probes); DB=closed; no status change authorized by this audit
exact-status-conflict	cross-platform	bootstrap_stage4_seed_compiled_full_cli_run_test_crash_2026-07-20	doc/08_tracking/bug/bootstrap_stage4_seed_compiled_full_cli_run_test_crash_2026-07-20.md	document=PARTIALLY FIXED — SIGSEGV closed, /proc/meminfo closed; 2 symptoms still OPEN (see "2026-07-20 follow-up" below); DB=closed; no status change authorized by this audit
unregistered-document	common	bootstrap_stage4_segfault_and_native_all_60s_file_timeout_2026-08-17	doc/08_tracking/bug/bootstrap_stage4_segfault_and_native_all_60s_file_timeout_2026-08-17.md	Status: OPEN (P1); severity/priority: not explicit; matches:
unregistered-document	common	bootstrap_stage_determinism_mismatch_fresh_seed_2026-09-01	doc/08_tracking/bug/bootstrap_stage_determinism_mismatch_fresh_seed_2026-09-01.md	Status: OPEN. Found while trying to produce an admissible pure-Simple; severity/priority: not explicit; matches:
unregistered-document	common	browser_composition_revision_counters_never_increment_2026-08-19	doc/08_tracking/bug/browser_composition_revision_counters_never_increment_2026-08-19.md	Status: OPEN; severity/priority: not explicit; matches:
exact-status-conflict	common	browser_engine_css_float_layout_unimplemented_2026-07-20	doc/08_tracking/bug/browser_engine_css_float_layout_unimplemented_2026-07-20.md	document=open; DB=closed; no status change authorized by this audit
exact-status-conflict	common	browser_engine_css_size_quadratic_pixel_render_2026-07-04	doc/08_tracking/bug/browser_engine_css_size_quadratic_pixel_render_2026-07-04.md	document=open — diagnosis complete, measured; DB=closed; no status change authorized by this audit
exact-status-conflict	common	browser_engine_free_fn_arg_mutation_lost_2026-06-30	doc/08_tracking/bug/browser_engine_free_fn_arg_mutation_lost_2026-06-30.md	document=PARTIALLY-RESOLVED (2026-07-17); DB=closed; no status change authorized by this audit
unregistered-document	common	browser_engine_missing_ua_defaults_2026-07-11	doc/08_tracking/bug/browser_engine_missing_ua_defaults_2026-07-11.md	Status: open; severity/priority: not explicit; matches:
unregistered-document	common	browser_engine_table_row_horizontal_layout_2026-07-11	doc/08_tracking/bug/browser_engine_table_row_horizontal_layout_2026-07-11.md	Status: open; severity/priority: not explicit; matches:
unregistered-document	common	browser_has_no_vulkan_render_lane_2026-08-15	doc/08_tracking/bug/browser_has_no_vulkan_render_lane_2026-08-15.md	Status: PARTIAL (2026-08-15: docker/Vulkan system lane GREEN with a; severity/priority: not explicit; matches:
exact-status-conflict	common	browser_layout_large_simd_fill_facade_unsafe_2026-07-09	doc/08_tracking/bug/browser_layout_large_simd_fill_facade_unsafe_2026-07-09.md	document=open; DB=closed; no status change authorized by this audit
exact-status-conflict	common	browser_net_real_site_gaps_2026-07-11	doc/08_tracking/bug/browser_net_real_site_gaps_2026-07-11.md	document=OPEN; DB=closed; no status change authorized by this audit
exact-status-conflict	common	browser_network_policy_check_blocker_2026-07-26	doc/08_tracking/bug/browser_network_policy_check_blocker_2026-07-26.md	document=open; DB=closed; no status change authorized by this audit
unregistered-document	common	browser_renderer_surface_state_not_bound_to_engine2d_owner_2026-09-09	doc/08_tracking/bug/browser_renderer_surface_state_not_bound_to_engine2d_owner_2026-09-09.md	Status: open; blocks any claim of production BrowserRenderer surface-lifecycle; severity/priority: not explicit; matches:
unregistered-document	common	browser_script_crossmodule_mutation_breaks_timer_event_2026-07-11	doc/08_tracking/bug/browser_script_crossmodule_mutation_breaks_timer_event_2026-07-11.md	Status: PARTIALLY-RESOLVED; severity/priority: medium; matches:
exact-status-conflict	common	browser_session_animation_target_build_blockers_2026-07-26	doc/08_tracking/bug/browser_session_animation_target_build_blockers_2026-07-26.md	document=open; DB=closed; no status change authorized by this audit
unregistered-document	common	browser_session_fetch_body_not_disturbed_and_timer_rollback_2026-08-21	doc/08_tracking/bug/browser_session_fetch_body_not_disturbed_and_timer_rollback_2026-08-21.md	Status: OPEN (genuine product defects; the specs are correct as written); severity/priority: not explicit; matches:
unregistered-document	common	browser_session_input_path_inline_handler_title_writes_lost_2026-08-19	doc/08_tracking/bug/browser_session_input_path_inline_handler_title_writes_lost_2026-08-19.md	Status: OPEN; severity/priority: not explicit; matches:
unregistered-document	common	browser_session_js_lane_inert_under_test_interpreter_2026-08-15	doc/08_tracking/bug/browser_session_js_lane_inert_under_test_interpreter_2026-08-15.md	Status: open; severity/priority: not explicit; matches:
unregistered-document	common	browser_session_rendering_spec_residual_failures_2026-08-19	doc/08_tracking/bug/browser_session_rendering_spec_residual_failures_2026-08-19.md	Status: OPEN — diagnosed, not yet fixed; severity/priority: not explicit; matches:
exact-status-conflict	common	browser_text_node_blanks_frame_2026-08-05	doc/08_tracking/bug/browser_text_node_blanks_frame_2026-08-05.md	document=OPEN (P1); DB=fixed; no status change authorized by this audit
exact-status-conflict	common	browser_webgpu_queue_wasm_memory_sspec_promise_2026-06-14	doc/08_tracking/bug/browser_webgpu_queue_wasm_memory_sspec_promise_2026-06-14.md	document=open (re-triaged 2026-09-13 — see the note at the end of this file); DB=closed; no status change authorized by this audit
exact-status-conflict	common	bug_sspec_daemon_optional_lookup_equality_divergence_2026-07-20	doc/08_tracking/bug/bug_sspec_daemon_optional_lookup_equality_divergence_2026-07-20.md	document=OPEN — workaround applied in new code, latent defect left in place in existing code per scope constraint (see below); DB=closed; no status change authorized by this audit
exact-status-conflict	common	build11_stage3_compile_context_corruption_2026-08-14	doc/08_tracking/bug/build11_stage3_compile_context_corruption_2026-08-14.md	document=OPEN (P1) — but the TITLE'S CLAIM IS NOW DISPROVED at the named; DB=closed; no status change authorized by this audit
unregistered-document	common	builtin_type_name_shadowing_is_an_undecided_language_question_2026-08-22	doc/08_tracking/bug/builtin_type_name_shadowing_is_an_undecided_language_question_2026-08-22.md	Status: OPEN — needs a language decision, not a compiler patch.; severity/priority: not explicit; matches:
unregistered-document	common	byte_at_reads_zero_from_slice_result_2026-07-28	doc/08_tracking/bug/byte_at_reads_zero_from_slice_result_2026-07-28.md	Status: Open; severity/priority: High — silent wrong data, no error; matches:
unregistered-document	common	bytebuffer_struct_param_mutation_not_persisted_2026-09-01	doc/08_tracking/bug/bytebuffer_struct_param_mutation_not_persisted_2026-09-01.md	Status: OPEN; severity/priority: High — silent data corruption under bin/simple test (fail-closed zeros; matches:
exact-status-conflict	simpleos	bytespan_equals_boxed_int_pointer_slot_93_guest_faults_2026-07-28	doc/08_tracking/bug/bytespan_equals_boxed_int_pointer_slot_93_guest_faults_2026-07-28.md	document=OPEN — producer located and characterized, fix NOT landed; DB=closed; no status change authorized by this audit
unregistered-document	common	c_runtime_compile_gate_red_browser_renderer_selfcheck_2026-08-18	doc/08_tracking/bug/c_runtime_compile_gate_red_browser_renderer_selfcheck_2026-08-18.md	Status: OPEN. Filed 2026-08-18.; severity/priority: not explicit; matches:
unregistered-document	common	c_runtime_exclusion_analysis_2026-05-18	doc/08_tracking/bug/c_runtime_exclusion_analysis_2026-05-18.md	Status: Open — audit still tracks removable C runtime candidates and blocked removals.; severity/priority: not explicit; matches:
unregistered-document	common	c_runtime_string_concat_quadratic_2026-08-22	doc/08_tracking/bug/c_runtime_string_concat_quadratic_2026-08-22.md	Status: OPEN (filed from the pure-lane audit of the seed's 2026-08-22; severity/priority: not explicit; matches:
unregistered-document	common	cache_authority_externs_unbacked_in_pure_simple_native_lane_2026-09-06	doc/08_tracking/bug/cache_authority_externs_unbacked_in_pure_simple_native_lane_2026-09-06.md	Status: open, deliberately not papered over by a parity-baseline row.; severity/priority: not explicit; matches:
exact-status-conflict	common	calculator_canned_content_missing_marker_2026-07-14	doc/08_tracking/bug/calculator_canned_content_missing_marker_2026-07-14.md	document=Open; DB=closed; no status change authorized by this audit
unregistered-document	common	callerless_vfs_executable_read_bypass_2026-08-11	doc/08_tracking/bug/callerless_vfs_executable_read_bypass_2026-08-11.md	Status: Open — blocks SimpleOS enhancement AC-5 filesystem isolation; severity/priority: not explicit; matches:
